metric,value,unit,interpretation
total_annual_heating_energy,26546.14168624416,kWh,typical-weather winter heating-demand proxy; not measured energy
typical_day_proxy_annual_heating_energy,26546.14168624416,kWh,weighted typical days multiplied by equivalent winter days
