metric,value,unit,interpretation
total_annual_heating_energy,59829.75272325408,kWh,typical-weather winter heating-demand proxy; not measured energy
typical_day_proxy_annual_heating_energy,59829.75272325408,kWh,weighted typical days multiplied by equivalent winter days
