user_id,R,C,A,Qint,construction_year,floor_area,energy_label,model,beta_Q,beta_S,beta_RC,b0,feasible,train_rmse_dT,val_rmse_dT,test_rmse_dT,train_rollout_rmse_T,val_rollout_rmse_T,test_rollout_rmse_T,cv_R,cv_C,cv_A,cv_Qint,dt_seconds,normalize_inputs,R_C_per_kW,C_kWh_per_C,A_m2,is_extreme_C,E_std_annual_per_m2,summer_kwh_share,summer_timestep_share,peak_heat_kw,C_per_area,vintage,label_clean,vintage_expected_label_score,label_score_raw,label_score,reno_signal,community_size,case_id,source,case_name,building_id
69f1e69b-e37f-4b30-81b8-5868f3d115ed,7.915860583855329,39.800667209288605,3.9457754787970787,-0.8613745558291207,1973,117,A,"huber(eps=1.35,alpha=0.0001)",0.006281301735103965,0.02478460636129877,0.0007935083833986284,-0.005410553492103863,True,0.07420153496027758,0.08392662455623304,0.12449660956961779,1.169261904420485,0.38596211628665045,0.6004041653054418,0.06250447024971044,0.07329001841484929,0.07824811253877466,0.09632118679753272,900.0,True,7.915860583855329,39.800667209288605,3.9457754787970787,False,98.14043319468138,0.00016823916345827804,8.561643835616438e-05,4.284881035373667,0.3401766428144325,1965-1974,A,5.0,7.0,7.0,2.0,10,1,real,size10_case1,input_01
376eb95b-ee02-4f4d-aa4a-2894e81b2cc8,2.556772098146616,22.736102238098017,14.383650506321503,0.4196171171856697,1972,174,A,ols,0.010995728176357536,0.1581587111512387,0.004300628978362308,0.00461399575872039,True,0.09483579501789292,0.1200558210845452,0.0857924863913072,1.3039191876094531,2.295682709126309,0.6224802732536036,0.20746553866669665,0.09079249416416936,0.0904733748965742,1.8979697111783356,900.0,True,2.556772098146616,22.736102238098017,14.383650506321503,False,117.91720779325138,0.00017123052223313794,8.561643835616438e-05,10.179685034009024,0.13066725424194262,1965-1974,A,5.0,7.0,7.0,2.0,10,1,real,size10_case1,input_02
dfb78489-c61b-4a24-8939-82848c1faee5,11.943154353371899,23.594026276166435,7.301014207614959,-1.2814129639922371,1990,125,0,ridge(alpha=1.0),0.010595902415033678,0.07736083407466254,0.00088719463062471,-0.013577726719820809,True,0.04898717601515089,0.08253525683039975,0.06997547132055813,1.1673396229890245,1.0428020164396152,0.9725549143160487,3.850674959139896,0.10591735531706799,0.13725278946915873,0.6132779018314984,900.0,True,11.943154353371899,23.594026276166435,7.301014207614959,False,80.922885087363,0.00018029501255388615,8.561643835616438e-05,3.5504952514826345,0.18875221020933147,1983-1991,0,6.0,,6.0,0.0,10,1,real,size10_case1,input_03
eb183388-6896-4a55-9f67-c4b6d34ae921,3.3314566299655475,21.6008158589567,5.3053254762396165,1.0412482521276434,1989,135,A,ols,0.011573636923363634,0.06140191082226858,0.00347404700372261,0.01205102921721234,True,0.06932263617845238,0.10566181956672502,0.08224283486482017,1.0601053060259766,1.667329688861928,1.3354314940442258,0.15604321602101784,0.06067935629081364,0.15140862973187116,0.3944126255862443,900.0,True,3.3314566299655475,21.6008158589567,5.3053254762396165,False,98.53943020335531,0.00016162916163562363,8.561643835616438e-05,7.093331605896879,0.16000604339967925,1983-1991,A,6.0,7.0,7.0,1.0,10,1,real,size10_case1,input_04
f9f239a5-5193-40c9-a0e6-a98fe29a5bd8,4.658471937738128,15.963082106125286,8.245186401572528,-0.30602339929326927,1990,125,C,"huber(eps=1.35,alpha=0.0001)",0.015661136009823006,0.1291289856613705,0.0033618611894927733,-0.0047926740785202634,True,0.22657352882241252,0.21772967737830312,0.19443489328182617,5.710042823782872,3.0509968290478033,1.8081019546021033,0.13829436009973128,0.04993582804609258,0.08396111490181295,0.8788248542860336,900.0,True,4.658471937738128,15.963082106125286,8.245186401572528,False,109.41528700173734,0.0001708730093927307,8.561643835616438e-05,6.123381615077246,0.12770465684900228,1983-1991,C,6.0,5.0,5.0,-1.0,10,1,real,size10_case1,input_05
1d7ec6e8-6497-4c6e-bd65-ee87f18452e4,3.001552254285514,9.059518626483214,3.9321359900471595,1.015225003247188,1973,117,C,ols,0.02759528516991931,0.10850841397225436,0.009193671418020358,0.028015423476238407,True,0.11712750031298631,0.17161576868217568,0.17477668055970735,1.0006322628898807,1.2454050776607148,2.1404807633780454,0.07175147547773889,0.0375707981006749,0.12245342083121284,0.19460906096398975,900.0,True,3.001552254285514,9.059518626483214,3.9321359900471595,False,135.0707750040992,0.0001578028322655661,8.561643835616438e-05,8.013436737126494,0.07743178313233516,1965-1974,C,5.0,5.0,5.0,0.0,10,1,real,size10_case1,input_06
804346d6-d7ee-41c9-afff-1e1371a10a3a,8.648383086470394,20.023328765898288,4.1724963657182,-0.9301329470494953,1966,100,C,"huber(eps=1.35,alpha=0.0001)",0.012485436508727498,0.05209543845707082,0.0014436729252037671,-0.01161311585506207,True,0.1002545025908914,0.1798258233322044,0.22200973845767713,1.0910858260019114,1.7556028305996345,3.013943580333374,0.14190502174549216,0.05453231171564079,0.16456267267802493,0.2350192589902623,900.0,True,8.648383086470394,20.023328765898288,4.1724963657182,False,110.71377286902154,0.00016666581057416807,8.561643835616438e-05,4.063666664166567,0.20023328765898288,1965-1974,C,5.0,5.0,5.0,0.0,10,1,real,size10_case1,input_07
4f69ef54-a947-46df-a7be-a3cbbd3c7c18,18.42098504298755,10.27862591178622,4.9384395922260165,-1.5941799040804594,1973,118,C,ols,0.02432231721881539,0.12011429432807849,0.001320359207830438,-0.03877414933090562,True,0.10369567372212216,0.15707852258033578,0.09649697424631484,1.8354500980761483,2.5078360425372814,4.40354435869429,2.0078459889909297,0.08239515075079923,0.17413479034562118,0.2608175353670757,900.0,True,18.42098504298755,10.27862591178622,4.9384395922260165,False,86.16483326876491,0.00017241971749574746,8.561643835616438e-05,3.0653281590059667,0.08710699925242558,1965-1974,C,5.0,5.0,5.0,0.0,10,1,real,size10_case1,input_08
e68e1208-c357-4975-a725-6886112174c1,5.356477811322808,6.1560837141745495,0.6609696995705396,0.07260424868353854,1965,100,C,"huber(eps=1.35,alpha=0.0001)",0.04061023397462387,0.02684213414969646,0.007581518192566726,0.0029484755265902773,True,0.15622442947000142,0.13013520357780428,0.31820195209718277,2.376355632712734,1.3105059066457068,4.922040100742369,0.03941321072778804,0.044880402141655895,0.24568521306277732,1.5824708106726075,900.0,True,5.356477811322808,6.1560837141745495,0.6609696995705396,False,117.23731992086354,0.00015110326053796236,8.561643835616438e-05,4.986690488375687,0.0615608371417455,1965-1974,C,5.0,5.0,5.0,0.0,10,1,real,size10_case1,input_09
ae2ee249-509b-4592-a87f-ebff5d79eed2,16.375692939943455,16.31654694979881,4.508720811317779,-1.6428344554828123,1964,99,C,ridge(alpha=1.0),0.015321869312739765,0.06908203103864101,0.0009356470818628254,-0.025171294829373643,True,0.18557449445206214,0.16937356113860272,0.15940621001568592,4.480552420721783,2.3021028323500956,5.635538288829939,3.294766841690172,0.1086717648328298,0.2835711500683705,0.41317069913262705,900.0,True,16.375692939943455,16.31654694979881,4.508720811317779,False,110.52964576334713,0.00017116111684305186,8.561643835616438e-05,3.297726257581635,0.1648136055535233,pre1965,C,4.0,5.0,5.0,1.0,10,1,real,size10_case1,input_10
