population_id,stage_proxy,z_renovation_quality,z_solar_exposure,z_occupancy,score_proxy,expected_E_proxy,mean_E_proxy,mean_E_error_std_proxy,coverage_ratio_proxy,coverage_penalty_proxy,outlier_penalty_proxy,label_ordering_score_proxy,label_ordering_ok_proxy,renovation_R_ok_proxy,population_size_proxy,stage_full,score_full,expected_E_full,mean_E_full,mean_E_error_std_full,coverage_ratio_full,coverage_penalty_full,outlier_penalty_full,label_ordering_score_full,label_ordering_ok_full,renovation_R_ok_full,total_kwh,mean_R,mean_C_per_area,population_size_full,community_size,case_id,case_name,score_source_key
p001,proxy,-0.20171862149827607,0.05192139380069252,0.015143750665407761,3.2469010035377615,112.20193772980278,141.63887493181372,1.1021040897432488,0.2,0.8,0.8435344599485631,0.0,True,True,10,full,2.7588500511084635,112.20193772980278,84.8308302428066,1.0247604665936447,0.2,0.8,0.479233304558632,0.0,True,True,100981.6322663967,6.1502149689311585,0.09451882422955783,10.0,10,1,size10_case1,score_df
p006,proxy,0.13391032748636097,-0.06517828937752947,-0.03374113154807862,3.34564585162877,112.20193772980278,141.87802221631986,1.1110576435215003,0.2,0.8,0.9279536219943694,0.0,True,True,10,full,3.0575467252289013,112.20193772980278,85.04987619746373,1.016559496471901,0.1,0.9,0.7110515308738592,0.0,True,True,99961.20281038833,6.000191589564091,0.11943869331613284,10.0,10,1,size10_case1,score_df
p004,proxy,0.1473487950867869,-0.3135645698190221,0.042323655640930234,3.8981264738291377,112.20193772980278,137.69924406277565,0.9546062959663542,0.4,0.6,1.2907564002829708,0.0,True,False,10,full,4.353788207927026,112.20193772980278,82.67640984771606,1.1054208801469048,0.1,0.9,1.265114799691978,0.0,True,False,100465.1329867775,6.4652924576706114,0.1611597486607726,10.0,10,1,size10_case1,score_df
p005,proxy,0.07183600047839027,-0.1989341869035609,-0.19257164310390218,4.628586210086658,112.20193772980278,144.54654287119303,1.2109657116441286,0.0,1.0,1.8910410714560524,0.0,True,True,10,,,,,,,,,,,,,,,,10,1,size10_case1,score_df
p002,proxy,-0.00022838096717814956,-0.13076319501048372,0.07068942115652173,4.770740392642422,112.20193772980278,148.33136886810618,1.352667689045487,0.2,0.8,1.966472090169642,0.0,True,True,10,,,,,,,,,,,,,,,,10,1,size10_case1,score_df
p008,proxy,-0.29709643479488174,-0.1729054016637105,0.011816625175941505,5.336907932390117,112.20193772980278,135.53804723619493,0.873692176234087,0.1,0.9,1.4190004504155782,1.0,False,False,10,,,,,,,,,,,,,,,,10,1,size10_case1,score_df
p007,proxy,-0.2863714091538347,-0.08439811714048956,0.1425463499863047,6.902295803870492,112.20193772980278,156.52986605424752,1.6596152908488986,0.2,0.8,1.8069113385122535,1.0,False,False,10,,,,,,,,,,,,,,,,10,1,size10_case1,score_df
p003,proxy,-0.11216733914287468,-0.053949697125647324,0.11849724317984095,7.4768764275774,112.20193772980278,169.67016973451194,2.151581636637698,0.1,0.9,1.5143458089570843,1.0,False,False,10,,,,,,,,,,,,,,,,10,1,size10_case1,score_df
